Session-old	Date	Start Time	End Time	PID-old	PID	Title	Author	Category	Track	Session	Poster(pref)	Hybrid Unit No	Assigned Board	Location	Presentation Order
Session 10	2024-03-20	11:00	12:30	DEMO-57	DEMO-57	LLMeBench: A Flexible Framework for Accelerating LLMs Benchmarking	Fahim Dalvi, Maram Hasanain, Sabri Boughorbel, Basel Mousi, Samir Abdaljalil, Nizi Nazar, Ahmed Abdelali, Shammur Absar Chowdhury, Hamdy Mubarak, Ahmed Ali, Majd Hawasly, Nadir Durrani and Firoj Alam	Demo	Demo	Session 10	In Person		D-2	Radisson	
Session 10	2024-03-20	11:00	12:30	DEMO-61	DEMO-61	Sig-Networks Toolkit: Signature Networks for Longitudinal Language Modelling	Talia Tseriotou, Ryan Chan, Adam Tsakalidis, Iman Munire Bilal, Elena Kochkina, Terry Lyons and Maria Liakata	Demo	Demo	Session 10	In Person		D-4	Radisson	
Session 11	2024-03-20	14:00	14:45	36	36	Zero-shot Sentiment Analysis in Low-Resource Languages Using a Multilingual Sentiment Lexicon	Fajri Koto, Tilman Beck, Zeerak Talat, Iryna Gurevych, Timothy Baldwin	Poster	Efficient/Low-resource methods in NLP	Session 11	Virtual			GatherTown	
Session 4	2024-03-18	16:00	17:30	135	135	VOLTAGE: A Versatile Contrastive Learning based OCR Methodology for ultra low-resource scripts through Auto Glyph Feature Extraction	Prawaal Sharma, Poonam Goyal, Vidisha Sharma, Navneet Goyal	Poster	Interpretability and Model Analysis in NLP	Session 4	In Person		38	Radisson	
Session 11	2024-03-20	14:00	14:45	200	200	VlogQA: Task, Dataset, and Baseline Models for Vietnamese Spoken-Based Machine Reading Comprehension	Thinh Phuoc Ngo, Khoa Tran Anh Dang, Son T. Luu, Kiet Van Nguyen, Ngan Luu-Thuy Nguyen	Poster	Efficient/Low-resource methods in NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	208	208	ViLexNorm: A Lexical Normalization Corpus for Vietnamese Social Media Text	Thanh-Nhi Nguyen, Thanh-Phong Le, Kiet Van Nguyen	Poster	Efficient/Low-resource methods in NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	331	331	Zero-Shot End-to-End Spoken Language Understanding via Cross-Modal Selective Self-Training	Jianfeng He, Julian Salazar, Kaisheng Yao, Haoqi Li, Jason Cai	Poster	Efficient/Low-resource methods in NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	353	353	Localization vs. Semantics: Visual Representations in Unimodal and Multimodal Models	Zhuowan Li, Cihang Xie, Benjamin Van Durme, Alan Yuille	Poster	Generation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	119	119	On the Relationship between Sentence Analogy Identification and Sentence Structure Encoding in Large Language Models	Thilini Wijesiriwardene, Ruwan Wickramarachchi, Aishwarya Naresh Reganti, Vinija Jain, Aman Chadha, Amit P. Sheth, Amitava Das	Poster	Interpretability and Model Analysis in NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	229	229	Explaining Language Model Predictions with High-Impact Concepts	Ruochen Zhao, Tan Wang, Yongjie Wang, Shafiq Joty	Poster	Interpretability and Model Analysis in NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	84	84	GAINER: Graph Machine Learning with Node-specific Radius for Classification of Short Texts and Documents	Naganand Yadati	Poster	Machine Learning for NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	95	95	Generation-driven Contrastive Self-training for Zero-shot Text Classification with Instruction-following LLM	Ruohong Zhang, Yau-Shian Wang, Yiming Yang	Poster	Machine Learning for NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	276	276	Random Smooth-based Certified Defense against Text Adversarial Attack	Zeliang Zhang	Poster	Machine Learning for NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	358	358	Exploiting Class Probabilities for Black-box Sentence-level Attacks	Raha Moraffah, huan liu	Poster	Machine Learning for NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	360	360	Learning Label Hierarchy with Supervised Contrastive Learning	Ruixue Lian, William A. Sethares, Junjie Hu	Poster	Machine Learning for NLP	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	111	111	Importance-Aware Data Augmentation for Document-Level Neural Machine Translation	Minghao Wu, Yufei Wang, George Foster, Lizhen Qu, Gholamreza Haffari	Poster	Machine Translation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	228	228	CharSpan: Utilizing Lexical Similarity to Enable Zero-Shot Machine Translation for Extremely Low-resource Languages	Kaushal Kumar Maurya, Rahul Kejriwal, Maunendra Sankar Desarkar, Anoop Kunchukuttan	Poster	Machine Translation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	223	223	SCO-VIST: Social Interaction Commonsense Knowledge-based Visual Storytelling	Eileen Wang, Caren Han, Josiah Poon	Poster	Multimodality and Language Grounding to Vision, Robotics and Beyond	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	265	265	IndiFoodVQA: A Knowledge-Aware Reasoning-Based Visual Question Answering Dataset for Indian Food Dishes	Pulkit Agarwal, Settaluri Lakshmi Sravanthi, Pushpak Bhattacharyya	Poster	Multimodality and Language Grounding to Vision, Robotics and Beyond	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	10	10	Next Visit Diagnosis Prediction via Medical Code-Centric Multimodal Contrastive EHR Modelling with Hierarchical Regularisation	Heejoon Koo	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	32	32	FinBPM: A Framework for Portfolio Management-based Financial Investor Behavior Perception Model	Zhilu Zhang, Procheta Sen, Zimu Wang, Ruoyu Sun, Zhengyong Jiang, Jionglong Su	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	120	120	Contextualization Distillation from Large Language Model for Knowledge Graph Completion	Dawei Li, Zhen Tan, Tianlong Chen, huan liu	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	219	219	Style-News: Incorporating Stylized News Generation and Adversarial Verification for Neural Fake News Detection	Wei-Yao Wang, Yu-Chieh Chang, Wen-Chih Peng	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	273	273	UP5: Unbiased Foundation Model for Fairness-aware Recommendation	Wenyue Hua, Yingqiang Ge, Shuyuan Xu, jianchao ji, Zelong Li, Yongfeng Zhang	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	289	289	Syllable-level lyrics generation from melody exploiting character-level language model	Zhe Zhang, Karol Lasocki, Yi Yu, Atsuhiro Takasu	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	402	402	Threat Behavior Textual Search by Attention Graph Isomorphism	Chanwoo Bae, Guanhong Tao, ZHUO ZHANG, Xiangyu Zhang	Poster	NLP Applications	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	426	426	Towards Evidentiality-Aware Retrieval for Abstractive Tasks: Overcoming Abstractiveness in Open-Domain Question Answering	Yongho Song, Dahyun Lee, Myungha Jang, seung-won hwang, Kyungjae Lee, Dongha Lee, Jinyoung Yeo	Poster	Question Answering	Session 11	In Person			Radisson	
Session 11	2024-03-20	14:00	14:45	426	426	Evidentiality-aware Retrieval for Overcoming Abstractiveness in Open-Domain Question Answering	Yongho Song, Dahyun Lee, Myungha Jang, seung-won hwang, Kyungjae Lee, Dongha Lee, Jinyoung Yeo	Poster	Question Answering	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	11	11	Generating Benchmarks for Factuality Evaluation of Language Models	Dor Muhlgay, Ori Ram, Inbal Magar, Yoav Levine, Nir Ratner, Yonatan Belinkov, Omri Abend, Kevin Leyton-Brown, Amnon Shashua, Yoav Shoham	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	145	145	Towards Context-Based Violence Detection: A Korean Crime Dialogue Dataset	Minju Kim, Heuiyeen Yeen, Myoung-Wan Koo	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	196	196	Multi-Reference Benchmarks for Russian Grammatical Error Correction	Frank Palma Gomez, Alla Rozovskaya	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	234	234	WSC+: Enhancing The Winograd Schema Challenge Using Tree-of-Experts	Pardis Sadat Zahraei, Ali Emami	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	386	386	A Multimodal Framework to Detect Target Aware Aggression in Memes	Shawly Ahsan, Eftekhar Hossain, Omar Sharif, Avishek Das, Mohammed Moshiul Hoque, M. Ali Akber Dewan	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	467	467	BMX: Boosting Natural Language Generation Metrics with Explainability	Christoph Leiter, Hoa Nguyen, Steffen Eger	Poster	Resources and Evaluation	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	332	332	Antonym vs Synonym Distinction using InterlaCed Encoder NETworks (ICE-NET)	Muhammad Asif Ali, Yan HU, Jianbin Qin, Di Wang	Poster	Semantics: Lexical	Session 11	In Person			Radisson	
Session 11	2024-03-20	14:00	14:45	59	59	Modeling Aspect Sentiment Coherency via Local Sentiment Aggregation	Heng Yang, Ke Li	Poster	Sentiment Analysis, Stylistic Analysis and Argument Mining	Session 11	Virtual			GatherTown	
Session 11	2024-03-20	14:00	14:45	DEMO-47	DEMO-47	DocChecker: Bootstrapping Code Large Language Model for Detecting and Resolving Code-Comment Inconsistencies	Anh Dau, Jin L.C. Guo and Nghi Bui	Demo	Demo	Session 11	In Person			Radisson	
Session 11	2024-03-20	14:00	14:45	DEMO-38	DEMO-38	RAGAs: Automated Evaluation of Retrieval Augmented Generation	Shahul Es, Jithin James, Luis Espinosa Anke and Steven Schockaert	Demo	Demo	Session 11	In Person			Radisson	
Session 11	2024-03-20	14:00	14:45	DEMO-40	DEMO-40	NeuroPrompts: An Adaptive Framework to Optimize Prompts for Text-to-Image Generation	‫Shachar Rosenman, Vasudev Lal and Phillip Howard	Demo	Demo	Session 11	In Person			Radisson	
Session 11	2024-03-20	14:00	14:45	DEMO-8	DEMO-8	pyTLEX: A Python Library for TimeLine EXtraction	Akul Singh, Jared Hummer, Mustafa Ocal and Mark Finlayson	Demo	Demo	Session 11	In Person			Radisson	
Session 9	2024-03-20	9:00	10:30	302	302	Answering legal questions from laymen in German civil law system	Marius Büttner, Ivan Habernal	Poster	NLP Applications	Session 9	In Person		14	Radisson	
Session 9	2024-03-20	9:00	10:30	258	258	Autism Detection in Speech – A Survey	Nadine Probol, Margot Mieskes	Poster	Machine Learning for NLP	Session 9	In Person		1	Radisson	
Session 9	2024-03-20	9:00	10:30	376	376	Autoregressive Score Generation for Multi-trait Essay Scoring	Heejin Do, Yunsu Kim, Gary Lee	Poster	NLP Applications	Session 9	In Person		15	Radisson	
Session 9	2024-03-20	9:00	10:30	453	453	Backward Compatibility During Data Updates by Weight Interpolation	Raphael Schumann, Elman Mansimov, Yi-An Lai, Nikolaos Pappas, Xibin Gao, Yi Zhang	Poster	Machine Learning for NLP	Session 9	In Person		2	Radisson	
Session 9	2024-03-20	9:00	10:30	318	318	Comparing Knowledge Sources for Open-Domain Scientific Claim Verification	Juraj Vladika, Florian Matthes	Poster	NLP Applications	Session 9	In Person		16	Radisson	
Session 9	2024-03-20	9:00	10:30	187	187	Consistent Joint Decision-Making with Heterogeneous Learning Models	Hossein Rajaby Faghihi, Parisa Kordjamshidi	Poster	Machine Learning for NLP	Session 9	In Person		3	Radisson	
Session 9	2024-03-20	9:00	10:30	466	466	CReSE: Benchmark Data and Automatic Evaluation Framework for Recommending Eligibility Criteria from Clinical Trial Information	Siun Kim, Jung-Hyun Won, David Lee, Renqian Luo, Lijun Wu, Tao Qin, Howard Lee	Poster	NLP Applications	Session 9	In Person		17	Radisson	
Session 9	2024-03-20	9:00	10:30	TACL2	TACL2	Do Text Simplification Systems Convey Correct Information? A Human Evaluation via Reading Comprehension	Sweta Agrawal, Carpuat Marine	Poster	NLP Applications	Session 9	In Person		18	Radisson	
Session 9	2024-03-20	9:00	10:30	294	294	Enhancing Society-Undermining Disinformation Detection through Fine-Grained Sentiment Analysis Pre-Finetuning	Tsung-Hsuan Pan, Chung-Chi Chen, Hen-Hsen Huang, Hsin-Hsi Chen	Poster	NLP Applications	Session 9	In Person		19	Radisson	
Session 9	2024-03-20	9:00	10:30	105	105	Entity Linking in the Job Market Domain	Mike Zhang, Rob van der Goot, Barbara Plank	Poster	NLP Applications	Session 9	In Person		20	Radisson	
Session 9	2024-03-20	9:00	10:30	67	67	Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance	Adrian Theuma, Ehsan Shareghi	Poster	NLP Applications	Session 9	Virtual		21	GatherTown	
Session 9	2024-03-20	9:00	10:30	48	48	EXPLORER: Exploration-guided Reasoning for Textual Reinforcement Learning	Kinjal Basu, Keerthiram Murugesan, Subhajit Chaudhury, Murray Campbell, Kartik Talamadupula, Tim Klinger	Poster	Machine Learning for NLP	Session 9	In Person		4	Radisson	
Session 9	2024-03-20	9:00	10:30	472	472	Exploring hybrid approaches to readability: experiments on the complementarity between linguistic features and transformers	Rodrigo Wilkens, Patrick Watrin, Rémi Cardon, Alice Pintard, Isabelle Gribomont, Thomas François	Poster	Machine Learning for NLP	Session 9	In Person		5	Radisson	
Session 9	2024-03-20	9:00	10:30	460	460	Generative Interpretation: Toward Human-Like Evaluation for Educational Question-Answer Pair Generation	Hyeonseok Moon, Jaewook Lee, Sugyeong Eo, Chanjun Park, Jaehyung Seo, Heuiseok Lim	Poster	NLP Applications	Session 9	In Person		22	Radisson	
Session 9	2024-03-20	9:00	10:30	458	458	Gradient-Based Language Model Red Teaming	Nevan Wichers, Carson Denison, Ahmad Beirami	Poster	Machine Learning for NLP	Session 9	In Person		6	Radisson	
Session 9	2024-03-20	9:00	10:30	227	227	Learning High-Quality and General-Purpose Phrase Representations	Lihu Chen, Gael Varoquaux, Fabian M. Suchanek	Poster	Machine Learning for NLP	Session 9	In Person		7	Radisson	
Session 9	2024-03-20	9:00	10:30	320	320	LegalLens: Leveraging LLMs for Legal Violation Identification in Unstructured Text	Dor Bernsohn, Gil Semo, Yaron Vazana, Gila Hayat, Ben Hagag, Joel Niklaus, Rohit Saha, Kyryl Truskovskyi	Poster	NLP Applications	Session 9	In Person		23	Radisson	
Session 9	2024-03-20	9:00	10:30	308	308	Leveraging ChatGPT in Pharmacovigilance Event Extraction: An Empirical Study	ZHAOYUE SUN, Gabriele Pergola, Byron C Wallace, Yulan He	Poster	NLP Applications	Session 9	In Person		24	Radisson	
Session 9	2024-03-20	9:00	10:30	35	35	Like a Good Nearest Neighbor: Practical Content Moderation and Text Classification	Luke Bates, Iryna Gurevych	Poster	NLP Applications	Session 9	In Person		25	Radisson	
Session 9	2024-03-20	9:00	10:30	23	23	LLM Comparative Assessment: Zero-shot NLG Evaluation through Pairwise Comparisons using Large Language Models	Adian Liusie, Potsawee Manakul, Mark Gales	Poster	NLP Applications	Session 9	In Person		26	Radisson	
Session 9	2024-03-20	9:00	10:30	270	270	MAPLE: Micro Analysis of Pairwise Language Evolution for Few-Shot Claim Verification	Xia Zeng, Arkaitz Zubiaga	Poster	NLP Applications	Session 9	In Person		27	Radisson	
Session 9	2024-03-20	9:00	10:30	319	319	Measuring Uncertainty in Neural Machine Translation with Similarity-Sensitive Entropy	Julius Cheng, Andreas Vlachos	Poster	Machine Learning for NLP	Session 9	In Person		8	Radisson	
Session 9	2024-03-20	9:00	10:30	291	291	Monolingual or Multilingual Instruction Tuning: Which Makes a Better Alpaca	Pinzhen Chen, Shaoxiong Ji, Nikolay Bogoychev, Andrey Kutuzov, Barry Haddow, Kenneth Heafield	Poster	NLP Applications	Session 9	In Person		28	Radisson	
Session 9	2024-03-20	9:00	10:30	10	10	Next Visit Diagnosis Prediction via Medical Code-Centric Multimodal Contrastive EHR Modelling with Hierarchical Regularisation	Heejoon Koo	Poster	NLP Applications	Session 9	In Person		29	Radisson	
Session 9	2024-03-20	9:00	10:30	80	80	NNOSE: Nearest Neighbor Occupational Skill Extraction	Mike Zhang, Rob van der Goot, Min-Yen Kan, Barbara Plank	Poster	NLP Applications	Session 9	In Person		30	Radisson	
Session 9	2024-03-20	9:00	10:30	424	424	Non-Exchangeable Conformal Language Generation with Nearest Neighbors	Dennis Thomas Ulmer, Chrysoula Zerva, Andre Martins	Poster	Machine Learning for NLP	Session 9	In Person		9	Radisson	
Session 9	2024-03-20	9:00	10:30	401	401	Parameter-Efficient Fine-Tuning: Is There An Optimal Subset of Parameters to Tune?	Max Ploner, Alan Akbik	Poster	Machine Learning for NLP	Session 9	In Person		10	Radisson	
Session 9	2024-03-20	9:00	10:30	281	281	Polarized Opinion Detection Improves the Detection of Toxic Language	John Pavlopoulos, Aristidis Likas	Poster	Machine Learning for NLP	Session 9	In Person		11	Radisson	
Session 9	2024-03-20	9:00	10:30	79	79	PRILoRA: Pruned and Rank-Increasing Low-Rank Adaptation	Nadav Benedek, Lior Wolf	Poster	Machine Learning for NLP	Session 9	In Person		12	Radisson	
Session 9	2024-03-20	9:00	10:30	192	192	Reconstruction of Ancient Hebrew and Aramaic Texts Using Transformers	Niv Fono, Harel Moshayof, Eldar Karol, Itai Assraf, Mark Last	Poster	NLP Applications	Session 9	In Person		31	Radisson	
Session 9	2024-03-20	9:00	10:30	393	393	Should I try multiple optimizers when fine-tuning a pre-trained Transformer for NLP tasks? Should I tune their hyperparameters?	Nefeli Gkouti, Prodromos Malakasiotis, Stavros Toumpis, Ion Androutsopoulos	Poster	Machine Learning for NLP	Session 9	In Person		13	Radisson	
Session 9	2024-03-20	9:00	10:30	DEMO-6	DEMO-6	kNN-BOX: A Unified Framework for Nearest Neighbor Generation	Wenhao Zhu, Qianfeng Zhao, Yunzhe Lv, Shujian Huang, Siheng Zhao, Sizhe Liu and Jiajun CHEN	Demo	Demo	Session 9	In Person		D-2	Radisson	
Session 9	2024-03-20	9:00	10:30	DEMO-14	DEMO-14	NESTLE: a No-Code Tool for Statistical Analysis of Legal Corpus	Kyoungyeon Cho, Seungkum Han, Young Rok Choi and Wonseok Hwang	Demo	Demo	Session 9	In Person		D-4	Radisson	
Session 9	2024-03-20	9:00	10:30	DEMO-35	DEMO-35	GeospaCy: A tool for extraction and geographical referencing of spatial expressions in textual data	Syed Mehtab Alam, Elena Arsevska, Mathieu Roche and Maguelonne Teisseire	Demo	Demo	Session 9	In Person		D-1	Radisson	
Session 9	2024-03-20	9:00	10:30	DEMO-42	DEMO-42	MEGAnno+: A Human-LLM Collaborative Annotation System	Hannah Kim, Kushan Mitra, Rafael Li Chen, Sajjadur Rahman and Dan Zhang	Demo	Demo	Session 9	In Person		D-3	Radisson	
