Session	Date	Start Time	End Time	Location	Track	Presentation Order	Session Title	Session ID on Underline	PID-old	PID	Title	Author	Length	Category	Oral(pref)
Session 3	2024-03-18	14:00	14:15	Carlson (176)	Efficient/Low-resource methods in NLP	1	Efficient/Low-resource methods in NLP		71-Oral	71-Oral	Finding a Needle in the Adversarial Haystack: A Targeted Paraphrasing Approach For Uncovering Edge Cases with Minimal Distribution Distortion	Aly M. Kassem, Sherif Saad	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:15	14:30	Carlson (176)	Efficient/Low-resource methods in NLP	2	Efficient/Low-resource methods in NLP		73-Oral	73-Oral	FAIR: Filtering of Automatically Induced Rules	Divya Jyoti Bajpai, Ayush Maheshwari, Manjesh Kumar Hanawal, Ganesh Ramakrishnan	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:30	14:45	Carlson (176)	Efficient/Low-resource methods in NLP	3	Efficient/Low-resource methods in NLP		130-Oral	130-Oral	Quality Does Matter: A Detailed Look at the Quality and Utility of Web-Mined Parallel Corpora	Surangika Ranathunga, Nisansa de Silva, Velayuthan Menan, Aloka Fernando, Charitha S.M. Rathnayake	Long 12/2.5/.5	Oral	Virtual
Session 3	2024-03-18	14:45	15:00	Carlson (176)	Efficient/Low-resource methods in NLP	4	Efficient/Low-resource methods in NLP		148-Oral	148-Oral	LaMini-LM: A Diverse Herd of Distilled Models from Large-Scale Instructions	Minghao Wu, Abdul Waheed, Chiyu Zhang, Muhammad Abdul-Mageed, Alham Fikri Aji	Long 12/2.5/.5	Oral	Unconfirmed
Session 3	2024-03-18	15:00	15:15	Carlson (176)	Efficient/Low-resource methods in NLP	5	Efficient/Low-resource methods in NLP		222-Oral	222-Oral	Anchor Points: Benchmarking Models with Much Fewer Examples	Rajan Pathe Vivek, Kawin Ethayarajh, Diyi Yang, Douwe Kiela	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	15:15	15:30	Carlson (176)	Efficient/Low-resource methods in NLP	6	Efficient/Low-resource methods in NLP		260-Oral	260-Oral	Aligning Large and Small Language Models via Chain-of-Thought Reasoning	Leonardo Ranaldi, Andre Freitas	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:00	14:15	Marie Louise 1 (90)	Discourse and Pragmatics	1	Discourse and Syntactic Parsing		211-Oral	211-Oral	Unleashing the Power of Discourse-Enhanced Transformers for Propaganda Detection	Alexander Chernyavskiy, Dmitry Ilvovsky, Preslav Nakov	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:15	14:30	Marie Louise 1 (90)	Discourse and Pragmatics	2	Discourse and Syntactic Parsing		438-Oral	438-Oral	Can we obtain significant success in RST discourse parsing by using Large Language Models?	Aru Maekawa, Tsutomu Hirao, Hidetaka Kamigaito, Manabu Okumura	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:30	14:45	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	3	Discourse and Syntactic Parsing		182-Oral	182-Oral	Improving Generalization in Semantic Parsing by Increasing Natural Language Variation	Irina Saparina, Mirella Lapata	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:45	15:00	Marie Louise 1 (90)	Syntax: Tagging, Chunking and Parsing	4	Discourse and Syntactic Parsing		159-Oral	159-Oral	From Partial to Strictly Incremental Constituent Parsing	Ana Ezquerro, Carlos Gómez-Rodríguez, David Vilares	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	15:00	15:15	Marie Louise 1 (90)	Syntax: Tagging, Chunking and Parsing	5	Discourse and Syntactic Parsing		207-Oral	207-Oral	A Truly Joint Neural Architecture for Segmentation and Parsing	Danit Yshaayahu Levi, Reut Tsarfaty	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	15:15	15:30	Marie Louise 1 (90)	Syntax: Tagging, Chunking and Parsing	6	Discourse and Syntactic Parsing		Journal-paper-CL1-Oral	Journal-paper-CL1-Oral	Generation and Polynomial Parsing of Graph Languages with Non-Structural Reentrancies	Johanna Björklund, Frank Drewes, Anna Jonsson	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:00	14:15	Marie Louise 2  (90)	Multimodality and Language Grounding to Vision, Robotics and Beyond	1	Multimodality		170-Oral	170-Oral	The Role of Data Curation in Image Captioning	Wenyan Li, Jonas F. Lotz, Chen Qiu, Desmond Elliott	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:15	14:30	Marie Louise 2  (90)	Multimodality and Language Grounding to Vision, Robotics and Beyond	2	Multimodality		233-Oral	233-Oral	VEIL: Vetting Extracted Image Labels from In-the-Wild Captions for Weakly-Supervised Object Detection	Arushi Rai, Adriana Kovashka	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:30	14:45	Marie Louise 2  (90)	Multimodality and Language Grounding to Vision, Robotics and Beyond	3	Multimodality		476-Oral	476-Oral	Text-Guided Image Clustering	Andreas Stephan, Lukas Miklautz, Kevin Sidak, Jan Philip Wahle, Bela Gipp, Claudia Plant, Benjamin Roth	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	14:45	15:00	Marie Louise 2  (90)	Speech recognition, text-to-speech and spoken language understanding	4	Multimodality		70-Oral	70-Oral	Towards Hierarchical Spoken Language Disfluency Modeling	Jiachen Lian, Gopala Anumanchipalli	Long 12/2.5/.5	Oral	In Person
Session 3	2024-03-18	15:00	15:15	Marie Louise 2  (90)	Speech recognition, text-to-speech and spoken language understanding	5	Multimodality		282-Oral	282-Oral	Improving Acoustic Word Embeddings through Correspondence Training of Self-supervised Speech Representations	Amit Meghanani, Thomas Hain	Long 12/2.5/.5	Oral	Virtual 
Session 3	2024-03-18	15:15	15:30	Marie Louise 2  (90)	Speech recognition, text-to-speech and spoken language understanding	6	Multimodality		362-Oral	362-Oral	STORiCo: Storytelling TTS for Hindi with Character Voice Modulation	Pavan Kalyan Tankala, Preethi Jyothi, Preeti Rao, Pushpak Bhattacharyya	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:00	16:15	Carlson (176)	Information Extraction	1	Information Extraction		25-Oral	25-Oral	OpenPI2.0: An Improved Dataset for Entity Tracking in Texts	Li Zhang, Hainiu Xu, Abhinav Kommula, Chris Callison-Burch, Niket Tandon	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:15	16:30	Carlson (176)	Information Extraction	2	Information Extraction		43-Oral	43-Oral	MultiMUC: Multilingual Template Filling on MUC-4	William Gantt, Shabnam Behzad, Hannah YoungEun An, Yunmo Chen, Aaron Steven White, Benjamin Van Durme, Mahsa Yarmohammadi	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:30	16:45	Carlson (176)	Information Extraction	3	Information Extraction		217-Oral	217-Oral	3D Rotation and Translation for Hyperbolic Knowledge Graph Embedding	Yihua Zhu, Hidetoshi Shimodaira	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:45	17:00	Carlson (176)	Information Extraction	4	Information Extraction		440-Oral	440-Oral	Ameli: Enhancing Multimodal Entity Linking with Fine-Grained Attributes	Barry Menglong Yao, Sijia Wang, Yu Chen, Qifan Wang, Minqian Liu, Zhiyang Xu, Licheng Yu, Lifu Huang	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:00	17:15	Carlson (176)	Information Extraction	5	Information Extraction		470-Oral	470-Oral	Large-Scale Label Interpretation Learning for Few-Shot Named Entity Recognition	Jonas Golde, Felix Hamborg, Alan Akbik	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:15	17:30	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	6	Information Extraction		240-Oral	240-Oral	Chaining Event Spans for Temporal Relation Grounding	Jongho Kim, Dohyeon Lee, Minsoo Kim, seung-won hwang	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:00	16:15	Marie Louise 1 (90)	Discourse and Pragmatics	1	Linguistic Theory and Insights		433-Oral	433-Oral	Syntactic Preposing and Discourse Relations	Yunfang Dong, Xixian Liao, Bonnie L. Webber	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:15	16:30	Marie Louise 1 (90)	Linguistic Theories, Cognitive Modeling and Psycholinguistics	2	Linguistic Theory and Insights		171-Oral	171-Oral	Large-Scale Bitext Corpora Provide New Evidence for Cognitive Representations of Spatial Terms	Peter Viechnicki, Kevin Duh, Anthony Kostacos, Barbara Landau	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:30	16:45	Marie Louise 1 (90)	Linguistic Theories, Cognitive Modeling and Psycholinguistics	3	Linguistic Theory and Insights		335-Oral	335-Oral	Clever Hans or Neural Theory of Mind? Stress Testing Social Reasoning in Large Language Models	Natalie Shapira, Mosh Levy, Seyed Hossein Alavi, Xuhui Zhou, Yejin Choi, Yoav Goldberg, Maarten Sap, Vered Shwartz	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:45	17:00	Marie Louise 1 (90)	Linguistic Theories, Cognitive Modeling and Psycholinguistics	4	Linguistic Theory and Insights		405-Oral	405-Oral	Frequency Explains the Inverse Correlation of Large Language Models' Size, Training Data Amount, and Surprisal's Fit to Reading Times	Byung-Doh Oh, Shisen Yue, William Schuler	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:00	17:15	Marie Louise 1 (90)	Phonology, Morphology, and Word Segmentation	5	Linguistic Theory and Insights		149-Oral	149-Oral	Automated Cognate Detection as a Supervised Link Prediction Task with Cognate Transformer	V.S.D.S.Mahesh Akavarapu, Arnab Bhattacharya	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:15	17:30	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	6	Linguistic Theory and Insights		51-Oral	51-Oral	Semantic Sensitivities and Inconsistent Predictions: Measuring the Fragility of NLI Models	Erik Arakelyan, Zhaoqi Liu, Isabelle Augenstein	Long 12/2.5/.5	Oral	Unconfirmed
Session 4	2024-03-18	16:00	16:15	Marie Louise 2  (90)	Dialogue and Interactive Systems	1	Opinion, Sentiment and Emotion		325-Oral	325-Oral	Improving Contrastive Learning in Emotion Recognition in Conversation via Data Augmentation and Decoupled Neutral Emotion	Yujin Kang, Yoon-Sik Cho	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	16:15	16:30	Marie Louise 2  (90)	NLP Applications	2	Opinion, Sentiment and Emotion		213-Oral	213-Oral	Predicting Client Emotions and Therapist Interventions in Psychotherapy Dialogues	Tobias Mayer, Neha Warikoo, Amir Eliassaf, Dana Atzil-Slonim, Iryna Gurevych	Long 12/2.5/.5	Oral	Unconfirmed
Session 4	2024-03-18	16:30	16:45	Marie Louise 2  (90)	Sentiment Analysis, Stylistic Analysis and Argument Mining	3	Opinion, Sentiment and Emotion		199-Oral	199-Oral	“Define Your Terms” : Enhancing Efficient Offensive Speech Classification with Definition	Huy Nghiem, Umang Gupta, Fred Morstatter	Long 12/2.5/.5	Oral	Virtual
Session 4	2024-03-18	16:45	17:00	Marie Louise 2  (90)	Sentiment Analysis, Stylistic Analysis and Argument Mining	4	Opinion, Sentiment and Emotion		257-Oral	257-Oral	Unsupervised stance detection for social media discussions: A generic baseline	Maia Sutter, Antoine Gourru, Amine Trabelsi, Christine Largeron	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:00	17:15	Marie Louise 2  (90)	Sentiment Analysis, Stylistic Analysis and Argument Mining	5	Opinion, Sentiment and Emotion		259-Oral	259-Oral	Putting Context in Context: the Impact of Discussion Structure on Text Classification	Nicolò Penzo, Antonio Longa, Bruno Lepri, Sara Tonelli, Marco Guerini	Long 12/2.5/.5	Oral	In Person
Session 4	2024-03-18	17:15	17:30	Marie Louise 2  (90)	Sentiment Analysis, Stylistic Analysis and Argument Mining	6	Opinion, Sentiment and Emotion		427-Oral	427-Oral	A Weak Supervision Approach for Few-Shot Aspect Based Sentiment Analysis	Robert Vacareanu, Siddharth Varia, Kishaloy Halder, Shuai Wang, Giovanni Paolini, Neha Anna John, Miguel Ballesteros, Smaranda Muresan	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	10:30	10:45	Carlson (176)	Question Answering	1	Sentence-level Semantics		Journal-paper-TACL1-Oral	Journal-paper-TACL1-Oral	Text-to-OverpassQL: A Natural Language Interface for Complex Geodata Querying of OpenStreetMap	Raphael Schumann, Michael Staniek, Maike Züfle, Stefan Riezler	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	10:45	11:00	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	2	Sentence-level Semantics		47-Oral	47-Oral	UNSEE: Unsupervised Non-contrastive Sentence Embeddings	Ömer Veysel Çağatan	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:00	11:15	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	3	Sentence-level Semantics		112-Oral	112-Oral	Lost in Translationese? Reducing Translation Effect Using Abstract Meaning Representation	Shira Wein, Nathan Schneider	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:15	11:30	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	4	Sentence-level Semantics		174-Oral	174-Oral	REFINER: Reasoning Feedback on Intermediate Representations	Debjit Paul, Mete Ismayilzada, Maxime Peyrard, Beatriz Borges, Antoine Bosselut, Robert West, Boi Faltings	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:30	11:45	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	5	Sentence-level Semantics		326-Oral	326-Oral	Neuralign: A Context-Aware, Cross-Lingual and Fully-Neural Sentence Alignment System for Long Texts	Francesco Maria Molfese, Andrei Stefan Bejgu, Simone Tedeschi, Simone Conia, Roberto Navigli	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:45	12:00	Carlson (176)	Semantics: Sentence-level Semantics, Textual Inference and other areas	6	Sentence-level Semantics		350-Oral	350-Oral	Sentence Representations via Gaussian Embedding	Shohei Yoda, Hayato Tsukagoshi, Ryohei Sasano, Koichi Takeda	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	10:30	10:45	Marie Louise 1 (90)	Ethics and NLP	1	Multilingual Issues		125-Oral	125-Oral	Centering the Speech Community	Steven Bird, Dean Yibarbuk	Long 12/2.5/.5	Oral	Unconfirmed
Session 6	2024-03-19	10:45	11:00	Marie Louise 1 (90)	Ethics and NLP	2	Multilingual Issues		147-Oral	147-Oral	'It's how you do things that matters'': Attending to Process to Better Serve Indigenous Communities with Language Technologies	Ned Cooper, Courtney Heldreth, Ben Hutchinson	Long 12/2.5/.5	Oral	In Person
